,Country,global_population,Available_quantity_per_capita ,Domestic_availability,propensity_to_import,Avg duties,GDP_per_capita,currency volatility,poultry_share_in_meat_consumption,share_of_urban_pop,logistic score,nb days to start a business,food_price_volatility,Influenza
73,Jordan,9965.318000000001,28.07,275.0,0.23272727272727273,12.5,9816.6,0.0,0.6411603471904981,91.20299999999999,2.69,12.5,1.4453076666023532,1
74,Kazakhstan,18319.618000000002,18.27,331.0,0.525679758308157,35.0,25337.2,65.34,0.26337033299697277,57.54,2.81,5.0,4.364342459723098,1
75,Kenya,51392.565,0.67,35.0,0.0,25.0,4220.4,2.72,0.033634538152610444,27.506999999999998,2.81,23.0,2.8424083006020022,1
76,Kyrgyz Republic,6304.03,3.1,32.0,0.78125,66.25,4706.6,4.18,0.09807023093957609,36.591,2.55,10.0,4.691929557018947,0
77,Kiribati,115.84700000000001,17.98,2.0,0.5,0.0,2291.9,0.06,0.1686046511627907,54.835,2.46,31.0,0.2232451974275246,0
78,"Kuwait, the State of",4137.312,46.25,189.0,0.7248677248677249,5.0,32371.0,0.0,0.5884972642829877,100.0,2.86,19.4,3.9341008583314037,0
79,Lesotho,2108.328,7.93,17.0,0.8823529411764706,29.642857142857142,2279.9,1.36,0.37108095460926527,28.585,2.28,15.0,6.450870884475975,0
80,Latvia,1928.4589999999998,20.89,41.0,1.048780487804878,30.0,29932.5,0.02,0.22323145971361402,68.222,2.81,5.5,1.1197211442289234,0
81,Lebanon,6859.408,10.74,73.0,0.1780821917808219,16.0,11649.1,0.0,0.3285408381768125,88.758,2.72,15.0,188.66883870028443,1
82,Liberia,4818.973,10.67,50.0,0.96,35.0,1353.8,0.0,0.44163907284768217,51.615,2.23,18.0,9.739723672656385,0
83,Lithuania,2801.264,28.19,82.0,0.5365853658536586,30.0,36732.0,0.02,0.24650227352221057,67.855,3.02,5.5,1.0430090372295087,0
84,Luxembourg,604.245,18.33,11.0,1.0,0.0,110261.0,0.02,0.16335442473932807,91.223,3.63,16.5,0.7962464023989906,0
85,North Macedonia,2082.9570000000003,19.73,41.0,0.975609756097561,22.0,15848.4,1.32,0.46065841699743165,58.208,2.7,15.0,1.3789615587444999,0
86,Madagascar,26262.313,2.87,82.0,0.0,20.0,1510.1,322.23,0.16279069767441862,37.861,2.39,8.0,1.8035296450592821,0
87,Malaysia,31528.033,39.21,1621.0,0.041949413942011106,40.0,26435.2,0.14,0.3548095195004977,76.607,3.22,17.5,0.5058918323608815,0
88,Malawi,18143.217,5.17,98.0,0.0,25.0,1486.8,96.08,0.17319932998324958,17.174,2.59,37.0,12.891889062015126,0
89,Maldives,515.696,13.5,12.0,1.0,0.0,13049.0,0.01,0.1215997117636462,40.238,2.67,12.0,0.7103024430917367,0
90,Mali,19077.749,2.83,52.0,0.019230769230769232,35.0,2216.8,13.8,0.08570563294972745,43.136,2.59,11.0,3.1487768526384032,0
91,Malta,439.24800000000005,27.17,14.0,0.6428571428571429,0.0,39222.1,0.02,0.23845883798490436,94.678,2.81,20.5,0.4610039936994253,0
92,Morocco,36029.093,20.96,746.0,0.004021447721179625,92.5,6916.3,0.16,0.3840234518138512,62.994,2.54,9.0,1.348226215509136,0
93,Mauritius,1267.185,37.93,49.0,0.04081632653061224,0.0,19469.5,1.92,0.5128447809626825,40.766,2.73,4.5,4.6698056137855515,0
94,Mauritania,4403.313,5.14,22.0,1.0909090909090908,13.0,4983.2,1.65,0.12782889828400892,54.507,2.33,6.0,1.5204328232958784,0
